ID              nm              lat		    lon		    countryCode
819827          Razvilka        55.591667   37.740833   RU
524901          Moscow          55.752220   37.615555   RU
2973393         Tarascon        43.805828   4.660280    FR
2643743         London          51.5085     0.1257      GB
1816670         Beijing         39.9075     116.3972    CN
1791247         Wuhan           30.5833     114.2667    CN
2643123         Manchester      53.4809     2.2374      GB
6446684         Cannes          43.55       7.0167      FR
2995468         Marseille       43.3333     5.5         FR
1835848         Seoul           37.5683     126.9778    KR
1841811         Gwangju         35.1547     126.9156    KR
680963          Mamaia          44.2338     28.6256     RO
681291          Cluj            46.6494     23.8184     RO
727011          Sofia           42.6975     23.3242     BG
726050          Varna           43.2167     27.9167     BG
2759794         Amsterdam       52.374      4.8897      NL
2747891         Rotterdam       51.9225     4.4792      NL
3128760         Barcelona       41.3888     2.159       ES
3117735         Madrid          40.4165     -3.7026     ES
3173435         Milan           45.4643     9.1895      IT
3170647         Pisa            43.7155     10.3966     IT
3172394		Naples		40.8333	    14.25	IT
